,Unnamed: 0,Clean,Tanggal,keywords,cluster
0,0,"['banjir', 'bantu', 'pesawat', 'selatan', 'serah', 'm', 'lepas', 'bencana', 'tni', 'korban']",1-28,banjir bantu pesawat selatan serah m lepas bencana tni korban,3
1,1,"['awan_panas', 'barak_ungsi', 'gunung_rapi', 'ungsi', 'jarak_luncur', 'bpptkg_catat', 'awan', 'panas', 'rapi', 'gugur']",1-28,awan_panas barak_ungsi gunung_rapi ungsi jarak_luncur bpptkg_catat awan panas rapi gugur,1
2,2,"['listyo_sigit', 'kota_yogyakarta', 'ugm', 'rumah_sakit', 'darah', 'hajat', 'gunungkidul', 'indonesia', 'sigit', 'swab_antigen']",1-28,listyo_sigit kota_yogyakarta ugm rumah_sakit darah hajat gunungkidul indonesia sigit swab_antigen,4
3,3,"['vaksin', 'jalan_isolasi', 'vaksinasi', 'harga', 'tenaga_sehat', 'hujan_deras', 'sumber_daya', 'isolasi', 'sunti', 'kepala_dinas']",1-28,vaksin jalan_isolasi vaksinasi harga tenaga_sehat hujan_deras sumber_daya isolasi sunti kepala_dinas,5
4,4,"['kulonprogo', 'humas_polres', 'temu', 'sekolah', 'korban', 'muara_sungai', 'muhammadiyah', 'curi', 'tni', 'pokok']",3-25,kulonprogo humas_polres temu sekolah korban muara_sungai muhammadiyah curi tni pokok,3
5,5,"['polda_diy', 'tambah', 'polda', 'kabupaten_sleman', 'kabupaten_bantul', 'konfirmasi_positif', 'tracing_kontak', 'juru_bicara', 'periksa_mandiri', 'pasien_sembuh']",3-25,polda_diy tambah polda kabupaten_sleman kabupaten_bantul konfirmasi_positif tracing_kontak juru_bicara periksa_mandiri pasien_sembuh,2
6,6,"['agama', 'ukur', 'langkah', 'air', 'guru', 'tutup', 'mm_detik', 'serikat', 'ganggu', 'vaksin_astrazeneca']",3-25,agama ukur langkah air guru tutup mm_detik serikat ganggu vaksin_astrazeneca,4
7,7,"['zona', 'kutip_reuters', 'darah', 'dokter', 'kelompok', 'senjata', 'serang', 'diskusi', 'myanmar', 'merah']",3-25,zona kutip_reuters darah dokter kelompok senjata serang diskusi myanmar merah,4
8,8,"['gunungkidul', 'seleksi', 'kelola', 'seni', 'bantul', 'rumah_sakit', 'muncul', 'ajar_tatap', 'mati', 'warna']",3-25,gunungkidul seleksi kelola seni bantul rumah_sakit muncul ajar_tatap mati warna,4
9,9,"['arab_saudi', 'china', 'teman', 'pohon', 'akp', 'stok', 'saudi', 'polsek', 'laku_tangkap', 'reskrim']",3-25,arab_saudi china teman pohon akp stok saudi polsek laku_tangkap reskrim,4
