,Topic,Word,P
0,0,perindo,0.008932709
1,0,partai_perindo,0.007301847
2,0,perindo_diy,0.006694994
3,0,dagang_pasar,0.0040844553
4,0,bingkis,0.0039675436
5,0,partai,0.0037184937
6,0,yuni,0.0029303723
7,0,baksos,0.00282019
8,0,dpw,0.0027097443
9,0,bagi,0.0022598654
10,1,kebumen,0.0033271615
11,1,olah,0.0014336777
12,1,potong,0.0012448122
13,1,bantul,0.0011656969
14,1,kepala,0.0011496694
15,1,kabupaten_bantul,0.001099998
16,1,kuliner,0.0010954422
17,1,joglo,0.0010462111
18,1,iring,0.0010460699
19,1,luas,0.0010079605
20,2,gempa,0.0019399641
21,2,kemudi,0.0013846111
22,2,truk,0.0013025617
23,2,sangka,0.0010447857
24,2,bumi,0.0010194408
25,2,lari,0.0010051691
26,2,mobil,0.000985613
27,2,celaka,0.0009786728
28,2,satlantas,0.0009624921
29,2,tabrak,0.00095776236
30,3,warung,0.09015912
31,3,menu,0.087572835
32,3,kepala,0.06511706
33,3,olah,0.059188064
34,3,kuliner,0.039315157
35,3,kabupaten_bantul,0.033663042
36,3,joglo,0.030161956
37,3,potong,0.029224202
38,3,bantul,0.029003873
39,3,buka,0.021076746
40,4,pinjol_ilegal,0.011544391
41,4,polda_diy,0.008222963
42,4,pinjol,0.0077621955
43,4,depok_sleman,0.00774893
44,4,polda_jabar,0.007517889
45,4,polda,0.0072131683
46,4,pinjam_online,0.0050845356
47,4,ilegal,0.004885742
48,4,jabar,0.004793611
49,4,kombes_pol,0.0043164184
50,5,kota_yogyakarta,0.0050830413
51,5,wisata,0.004219602
52,5,gunungkidul,0.0041035395
53,5,uji_coba,0.003889014
54,5,kulonprogo,0.0038175404
55,5,sepeda_motor,0.0036762275
56,5,pandemi_covid,0.0035366758
57,5,korban,0.0033638147
58,5,temu,0.0032394317
59,5,protokol_sehat,0.0031676735
