No,Topik
1,"['hotel', 'papua', 'umum', 'gedung', 'mayat', 'kamar', 'panggil', 'mampu', 'ecek', 'perempuan']"
2,"['lurah', 'fakultas', 'lantik', 'kopassus', 'bupati_bantul', 'lahan', 'abdul_halim', 'kapten', 'susun', 'halim']"
3,"['rusia', 'kopassus', 'pukul', 'cerita', 'moskow', 'kartu', 'sebar_covid', 'belah', 'pulang', 'gerak']"
4,"['mahasiswa', 'kerja', 'isi', 'indonesia', 'akun', 'kali', 'fasilitas', 'bakar', 'proyek', 'negeri']"
5,"['protokol_sehat', 'gunungkidul', 'kulonprogo', 'sleman', 'pandemi_covid', 'salah_satu', 'media_sosial', 'anak_anak', 'amerika_serikat', 'rabu']"
6,"['kota_yogyakarta', 'objek_wisata', 'jabat', 'persen', 'daerah', 'capai_persen', 'libur_natal', 'laku', 'naik', 'kota']"
7,"['cctv', 'kamera', 'kader', 'asosiasi', 'sebar_covid', 'lacak', 'usul', 'naik', 'tetangga', 'video']"
8,"['bantul', 'positif_covid', 'buku', 'ayam', 'pasien', 'korban', 'tinggal', 'virus', 'kabupaten_bantul', 'rumah_sakit']"
9,"['inggris', 'makan', 'bekas', 'sakit', 'prinsip', 'pria', 'pola', 'beda', 'online', 'dokter']"
10,"['ppkm_level', 'muhammadiyah', 'tni', 'angkat_darat', 'dudung', 'presiden', 'level', 'maju', 'ppkm', 'atur']"
11,"['densus', 'farid', 'okbah', 'urus', 'ustaz', 'ustaz_farid', 'antiteror', 'densus_antiteror', 'tangkap', 'pantai']"
12,"['gugus_tugas', 'ptm', 'komputer', 'ajar_tatap', 'university', 'virtual', 'evaluasi', 'siswa', 'gugus', 'aplikasi']"
13,"['korban', 'longsor', 'laku', 'lokasi_jadi', 'jeffry', 'curi', 'polsek', 'aniaya', 'polisi', 'lapor_polisi']"
