No,Topik
1,"['kota_yogyakarta', 'vaksinasi', 'bantul', 'pasien_covid', 'pasien', 'rumah_sakit', 'korban', 'kabupaten_bantul', 'sepeda_motor', 'tambah']"
2,"['sepeda_motor', 'korban', 'kota_yogyakarta', 'talib', 'afghanistan', 'pasien_covid', 'motor', 'pasien', 'pasien_sembuh', 'lokasi_jadi']"
3,"['awan_panas', 'gunung_rapi', 'jarak_luncur', 'kali_gempa', 'amplitudo_mm', 'gugur_lava', 'barat_daya', 'rapi', 'gugur', 'detik']"
4,"['sepeda_motor', 'talib', 'afghanistan', 'amerika_serikat', 'korban', 'as', 'kabul', 'motor', 'lokasi_jadi', 'menteri_negeri']"
5,"['vaksinasi', 'vaksinasi_covid', 'pasien_covid', 'pasien', 'pasien_sembuh', 'vaksin', 'orang_total', 'talib', 'laksana_vaksinasi', 'afghanistan']"
6,"['pandemi_covid', 'kota_yogyakarta', 'vaksinasi', 'objek_wisata', 'wisata', 'sepeda_motor', 'ppkm_level', 'pandemi', 'vaksinasi_covid', 'vaksin']"
7,"['kota_yogyakarta', 'vaksinasi', 'vaksinasi_covid', 'rumah_sakit', 'kota', 'laksana_vaksinasi', 'objek_wisata', 'pemkab_sleman', 'bantu_sosial', 'wisata']"
8,"['sepeda_motor', 'ppkm_level', 'objek_wisata', 'uji_coba', 'pandemi_covid', 'orang_tua', 'destinasi_wisata', 'kota_yogyakarta', 'korban', 'pemkab_sleman']"
9,"['pandemi_covid', 'sepeda_motor', 'korban', 'uji_coba', 'tembak', 'ppkm_level', 'bantu', 'buah', 'pandemi', 'barang_bukti']"
10,"['warga_bina', 'remisi', 'orang_tua', 'bantul', 'lapas', 'kabupaten_bantul', 'wbp', 'anak_anak', 'bina', 'kelas_iib']"
11,"['panglima_tni', 'tni', 'orang_tua', 'uji_coba', 'objek_wisata', 'tembak', 'warga_bina', 'pemkab_sleman', 'pusat_belanja', 'angkat_udara']"
12,"['warga_bina', 'kabupaten_bantul', 'remisi', 'rumah_sakit', 'orang_total', 'bantul', 'tangan_covid', 'lapas', 'wbp', 'orang_tua']"
13,"['orang_tua', 'tni', 'uji_coba', 'rumah_sakit', 'panglima_tni', 'objek_wisata', 'anak_anak', 'polda_diy', 'pusat_belanja', 'anak']"
14,"['israel', 'tracing_kontak', 'panglima_tni', 'kabupaten_sleman', 'kota_yogyakarta', 'kulonprogo', 'kabupaten_kulonprogo', 'orang_tua', 'kabag_humas', 'rumah_sakit']"
15,"['orang_tua', 'rumah_sakit', 'panglima_tni', 'objek_wisata', 'pandemi_covid', 'anak', 'anak_anak', 'tua', 'tni', 'orang_total']"
16,"['uji_coba', 'rumah_sakit', 'kabupaten_bantul', 'pusat_belanja', 'barang_bukti', 'israel', 'pasien_covid', 'bantul', 'warga_bina', 'serang']"
17,"['panglima_tni', 'israel', 'bantul', 'kabag_humas', 'orang_tua', 'kulonprogo', 'anak_anak', 'tni', 'objek_wisata', 'pemkab_sleman']"
18,"['merah_putih', 'israel', 'bendera', 'bantu', 'bantu_sosial', 'gunungkidul', 'tembak', 'polda_diy', 'ingat_hut', 'kibar']"
19,"['buah', 'pandemi_covid', 'polda_diy', 'bantu', 'pemkab_sleman', 'tani', 'rumah_sakit', 'terap_protokol', 'bantu_sosial', 'destinasi_wisata']"
20,"['israel', 'polda_diy', 'merah_putih', 'korban', 'bendera', 'diy', 'panglima_tni', 'pasien_covid', 'tangan_covid', 'pandemi_covid']"
21,"['ppkm_level', 'barang_bukti', 'destinasi_wisata', 'israel', 'tembak', 'barang', 'gunungkidul', 'protokol_sehat', 'panglima_tni', 'tangkap']"
22,"['polda_diy', 'angkat_udara', 'merah_putih', 'israel', 'harga', 'pasar', 'bantu', 'ppkm_level', 'panglima_tni', 'tembak']"
23,"['tembak', 'polda_diy', 'panglima_tni', 'israel', 'kulonprogo', 'pandemi_covid', 'laku_usaha', 'tangan_covid', 'pesawat', 'bantu_sosial']"
24,"['laku_usaha', 'israel', 'protokol_sehat', 'lokasi_jadi', 'bantul', 'tangan_covid', 'harga', 'truk', 'polda_diy', 'gunungkidul']"
25,"['buah', 'polda_diy', 'tangan_covid', 'merah_putih', 'bantu_sosial', 'kepala_dinas', 'pemda_diy', 'gunungkidul', 'kota_yogyakarta', 'korban']"
26,"['angkat_udara', 'pemkab_sleman', 'korban', 'papar_covid', 'bendera', 'kulonprogo', 'mati', 'hamil', 'kota_yogyakarta', 'merah_putih']"
27,"['angkat_udara', 'bantu_sosial', 'barang_bukti', 'israel', 'gunungkidul', 'truk', 'bandara', 'bantu', 'ppkm_level', 'tumpang']"
28,"['laku_usaha', 'truk', 'buah', 'mobil', 'polda_diy', 'harga', 'anak_anak', 'pasar', 'sepeda_motor', 'vaksin']"
29,"['bantu_sosial', 'protokol_sehat', 'angkat_udara', 'truk', 'buah', 'papar_covid', 'ppkm_level', 'oksigen', 'orang_total', 'mobil']"
30,"['gunungkidul', 'tembak', 'buah', 'harga', 'tani', 'papar_covid', 'pesawat', 'bantu_sosial', 'tinggal_dunia', 'lokasi_jadi']"
31,"['merah_putih', 'rumah_sakit', 'buah', 'media_sosial', 'bendera', 'oksigen', 'bandara', 'negara', 'ingat_hut', 'kandang']"
32,"['harga', 'rumah_sakit', 'pcr', 'swab', 'tes', 'china', 'media_sosial', 'tembak', 'kabupaten_bantul', 'pemkab_sleman']"
33,"['dinas_sehat', 'protokol_sehat', 'vaksin', 'pemkab_sleman', 'tani', 'rumah_sakit', 'ugm', 'mahasiswa', 'pasar', 'sehat']"
34,"['oksigen', 'ageng', 'kelapa', 'orang_total', 'makam', 'korban', 'aji', 'tani', 'ugm', 'wahyu']"
35,"['ugm', 'protokol_sehat', 'mahasiswa', 'laku_usaha', 'barang_bukti', 'ingat_hut', 'tim', 'ppkm_level', 'barang', 'latih']"
36,"['juru_bicara', 'barang_bukti', 'amerika_serikat', 'media_sosial', 'as', 'protokol_sehat', 'menteri_negeri', 'barang', 'ghani', 'ugm']"
37,"['angkat_udara', 'lokasi_jadi', 'tembak', 'laku_usaha', 'pt', 'senjata', 'bantu_sosial', 'mati', 'papua', 'pasar']"
38,"['menteri_negeri', 'bandara', 'angkat_udara', 'amerika_serikat', 'mati', 'kelapa', 'kandang', 'duga', 'ternak', 'as']"
39,"['laku_usaha', 'menteri_negeri', 'dewan', 'lolos', 'diy', 'urus', 'klaten', 'kereta', 'ppkm_level', 'ageng']"
40,"['orang_tua', 'anak_anak', 'anak', 'pasar', 'pemkab_sleman', 'pasal', 'buah', 'oksigen', 'muhammad', 'angkat_udara']"
41,"['papar_covid', 'pasar', 'tinggal_dunia', 'laku_usaha', 'isolasi_mandiri', 'bandara', 'objek_wisata', 'protokol_sehat', 'hamil', 'harga']"
42,"['oksigen', 'pasar', 'media_sosial', 'anak_anak', 'china', 'destinasi_wisata', 'anak', 'korban', 'klaten', 'makam']"
43,"['papar_covid', 'laku_usaha', 'dinas_sehat', 'tinggal_dunia', 'objek_wisata', 'rumah_sakit', 'destinasi_wisata', 'pesawat', 'buah', 'bantu']"
44,"['ingat_hut', 'menteri_negeri', 'objek_wisata', 'kepala_dinas', 'destinasi_wisata', 'pasien_covid', 'pesawat', 'protokol_sehat', 'as', 'merdeka']"
45,"['oksigen', 'dinas_sehat', 'vaksin', 'kombes_pol', 'kartu', 'lurah', 'lokasi_jadi', 'laku_usaha', 'teroris', 'angkat_udara']"
